"id","image_data","image_name","image_type","product_id"
3,"binary data","imageFile","image/jpeg",3
4,"binary data","imageFile","image/jpeg",2
5,"binary data","imageFile","image/jpeg",7
8,"binary data","imageFile","image/jpeg",55
9,"binary data","imageFile","image/jpeg",4
10,"binary data","imageFile","image/jpeg",15
11,"binary data","imageFile","image/webp",21
12,"binary data","imageFile","image/jpeg",1
13,"binary data","imageFile","image/jpeg",5
14,"binary data","imageFile","image/jpeg",6
15,"binary data","imageFile","image/jpeg",8
16,"binary data","imageFile","image/jpeg",9
17,"binary data","imageFile","image/jpeg",10
18,"binary data","imageFile","image/jpeg",13
19,"binary data","imageFile","image/jpeg",18
20,"binary data","imageFile","image/jpeg",19
21,"binary data","imageFile","image/jpeg",20
22,"binary data","imageFile","image/jpeg",22
23,"binary data","imageFile","image/jpeg",23
24,"binary data","imageFile","image/jpeg",24
25,"binary data","imageFile","image/jpeg",25
26,"binary data","imageFile","image/jpeg",26
27,"binary data","imageFile","image/jpeg",27
28,"binary data","imageFile","image/jpeg",28
29,"binary data","imageFile","image/jpeg",29
30,"binary data","imageFile","image/jpeg",30
31,"binary data","imageFile","image/jpeg",32
32,"binary data","imageFile","image/jpeg",33
33,"binary data","imageFile","image/jpeg",34
34,"binary data","imageFile","image/jpeg",35
35,"binary data","imageFile","image/jpeg",36
36,"binary data","imageFile","image/jpeg",38
37,"binary data","imageFile","image/jpeg",39
38,"binary data","imageFile","image/jpeg",40
39,"binary data","imageFile","image/jpeg",41
40,"binary data","imageFile","image/jpeg",42
41,"binary data","imageFile","image/jpeg",43
42,"binary data","imageFile","image/jpeg",44
43,"binary data","imageFile","image/jpeg",45
44,"binary data","imageFile","image/jpeg",46
45,"binary data","imageFile","image/jpeg",47
46,"binary data","imageFile","image/jpeg",52
47,"binary data","imageFile","image/jpeg",53
